מפעיל,מקור נתונים,כותרת,קווים,תאריך התחלה,תאריך סיום,קישור,תוכן מלא,סיכום AI
דן,scan-export,עבודות ברצף ברח' רוזנפלד בקטע ג'ורג' וייז/לבנון בשני הכיוונים 5/4/2026,"25, 289",31/3/2026,31/3/2026,https://www.dan.co.il/update/bvdvt-brtsp-rvznpld-bqt-gvrg-vyyz-lbnvn-bshny-hkyvvnym-5-4-2026,"קו: 25לכיווןקלצ'קין:עד איינשטייןפינת לבנון ללא שינוי, לבנון קלצ'קין, ועד למסוף קלצ'קין – תחנה סופית. תחנות מבוטלות:21513 -האוניברסיטה/חיים לבנון21498 - מכוןהתקנים/חיים לבנון21235 - קמפוסברושים/שלום רוזנפלד21665 - הפקולטהלהנדסה/קלאוזנר20138 - מוזאון העםהיהודי/קלאוזנר20503 -ביה""ס לרפואה/קלצ'קין תחנה חדשה:27065 –האוניברסיטה/חיים לבנון מכיווןקלצ'קין:יציאה ממסוףקלצ'קין רח' קלצ'קין, לבנון, איינשטיין, והמשך במסלול הרגיל. תחנות מבוטלות:20482 - ביה""סלרפואה/קלצ'קין21734 - מדעיהחיים/קלאוזנר20137 - מוזאון העםהיהודי/קלאוזנר25075 - הפקולטהלהנדסה/ד''ר ג'ורג' וויז20794 - ד""רג'ורג' וייז/שלום רוזנפלד21385 - מכוןהתקנים/חיים לבנון21469 - חייםלבנון/ד""ר ג'ורג' וויז תחנה חדשה:21388 –האוניברסיטה/חיים לבנון קו:289לכיוון מסוףמערבי:עד הכיכר ברח'קלאוזנר פינת קלצ'קין ללא שינוי, פרסה בכיכר חזרה ברח' קלאוזנר, המשךירוחם משל, ועד למסוף המערבי. תחנות מבוטלות:20503 – ביה""סלרפואה/קלצ'קין21389 – חייםלבנון/קלצ'קין21513 – האוניברסיטה/חייםלבנון21498 – מכוןהתקנים/חיים לבנון21235 – קמפוסברושים/שלום רוזנפלד מכיוון מסוףמערבי:עד הכיכר ברח'משל פינת רוזנפלד ללא שינוי, המשך ברח' ג'ורג' וייז, , המשך קלאוזנר, נסיעה עד הכיכר ברח' קלאוזנר פינת קלצ'קין, פרסהבכיכר, חזרה ברח' קלאוזנר, המשך ירוחם משל, והמשך במסלול הרגיל. תחנות מבוטלות:21227 - קמפוסברושים/שלום רוזנפלד21385 - מכוןהתקנים/חיים לבנון21469 - חייםלבנון/ד""ר ג'ורג' וויז27065 -האוניברסיטה/חיים לבנון21547 - קלצ'קין/חייםלבנון20482 - ביה""סלרפואה/קלצ'קין‍",
דן,scan-export,עבודות לילה ברחוב צירלסון,8,5/4/2026,5/4/2026,https://www.dan.co.il/update/bvdvt-lylh-tsyrlsvn-2,"מכיוון מעייני הישועה:עד אהרונוביץפינת השלושה ללא שינוי, השלושה, ממשיך במסלול הרגיל עד נפחא פינתאהרונוביץ, אהרונוביץ, והמשך במסלולהרגיל.תחנות מבוטלות:28588 -אהרונוביץ/השלושה26579 - הרב בראילן/הרב קלישר26580 - הרבקלישר/הילדסהיימר26578 -ביה""ס מע""ש/הרב צירלסון26555 - הרבצירלסון/ד""ר ברויאר27058 - אהרונוביץ/נפחא‍",
דן,scan-export,עדכון לציבור הנוסעים,"11, 80, 81, 119, 128, 138, 140, 242, 266",31/3/2026,31/3/2026,https://www.dan.co.il/update/dkvn-ltsybvr-ym,":בהתאם להנחיות של פיקוד העורף ומשרד התחבורה יחולו השינויים הבאיםקווים שלא פעילים בימים אלו: 11,80,81,119,128,138,140,242,266בערב החג (01.04) וביום שישי (03.04) לא יפעלו ו הקווים שלהלן 267, 79במוצאי החג (02.04) ובמוצאי שבת (04.04) הקווים: 240,238, 160, 116, 57, 50, 44, 39, 33, 23, 17, 9 בני ברק + קווי לילה: 466,463, 418‍מומלץ ! להתעדכן בלוחות הזמנים באתר אתר החברה וכן באמצעות מרכזי המידע בנוסף, ייתכנו שינויים נוספים בלוחות הזמנים ובמסלולי הנסיעה, בשל אזעקות, חסימת כבישים ועוד, עליהם לא נוכל להודיע מראשאנו מודים לציבור הנוסעים על ההבנה והסבלנות ומקווים לימים שקטים וטובים יותר.חג שמח",
דן,scan-export,העתקת תחנה מרחוב דיזנגוף לשדרות נורדאו 25/3/2026,5,24/3/2026,24/3/2026,https://www.dan.co.il/update/h-tqt-tkhnh-dyzngvp-lshdrvt-nvrdv-25-3-2026,"מק""ט תחנה:25839 – שד' נורדאו/דיזנגוף ‍",
דן,scan-export,עמדות על הקו,—,25/3/2026,25/3/2026,https://www.dan.co.il/update/mdvt,"נוסעים יקרים, בשל המצב הבטחוני ובהתאם להנחיות, עמדת הרב קו בבת ים תהייה פתוחה בימים א-ה: 08:00-16:00 ובימי שישי 08:00-13:00 עמדת הרב קו ברמת גן, ברחוב קרניצי 5 - פתוחה בימים א-ה: 08:00-14:00 ובימי שישי:08:00-13:00 העמדות הנוספות של החברה סגורות. ההחלטה התקבלה מתוך אחריות לשלומם של העובדים והציבור כאחד. אנו עוקבים באופן שוטף אחר ההנחיות ונשוב לפעילות בהקדם האפשרי בימים אלו שמרו על עצמכם, ומייחלים לימים שקטים ובטוחים יותר.",
דן,scan-export,"שינוי במיקום עצירות בתחנת רכבת ת""א סבידור/דרך נמיר (בכביש השירות) 25/3/2026","40, 44, 58, 72, 116, 267",25/3/2026,25/3/2026,https://www.dan.co.il/update/shynvy-bmyqvm-tsyrvt-rkbt-t-sbydvr-drk-nmyr-bkbysh-hshyrvt-25-3-2026,"מק""ט תחנה:24068 – תחנת רכבת תלאביב – סבידור/דרך נמיר ‍",
